"MEASURE","Measure","PROP_TYPE","Property type","ASGS_2011","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","7GDAR","Greater Darwin","Q","Quarterly","2020-Q3","Sep-2020",-0.7,"i","imputed"
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","7GDAR","Greater Darwin","Q","Quarterly","2020-Q4","Dec-2020",2.3,,
"1","Index Number","3","Residential property","5GPER","Greater Perth","Q","Quarterly","2019-Q1","Mar-2019",101.1,,
"1","Index Number","3","Residential property","5GPER","Greater Perth","Q","Quarterly","2019-Q2","Jun-2019",99.7,,
"1","Index Number","3","Residential property","5GPER","Greater Perth","Q","Quarterly","2019-Q3","Sep-2019",98.5,,
"1","Index Number","3","Residential property","5GPER","Greater Perth","Q","Quarterly","2019-Q4","Dec-2019",99.6,,
"1","Index Number","3","Residential property","5GPER","Greater Perth","Q","Quarterly","2020-Q1","Mar-2020",100.2,,
"1","Index Number","3","Residential property","5GPER","Greater Perth","Q","Quarterly","2020-Q2","Jun-2020",99.5,,
"1","Index Number","3","Residential property","5GPER","Greater Perth","Q","Quarterly","2020-Q3","Sep-2020",100.9,,
"1","Index Number","3","Residential property","5GPER","Greater Perth","Q","Quarterly","2020-Q4","Dec-2020",103.8,,
"2","Percentage change from previous quarter","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2019-Q1","Mar-2019",-0.2,,
"2","Percentage change from previous quarter","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2019-Q2","Jun-2019",0.3,,
"2","Percentage change from previous quarter","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2019-Q3","Sep-2019",1.5,,
"2","Percentage change from previous quarter","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2019-Q4","Dec-2019",2.6,,
"2","Percentage change from previous quarter","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2020-Q1","Mar-2020",2.4,,
"2","Percentage change from previous quarter","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2020-Q2","Jun-2020",-0.4,,
"2","Percentage change from previous quarter","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2020-Q3","Sep-2020",1.2,,
"2","Percentage change from previous quarter","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2020-Q4","Dec-2020",3.2,,
